name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Kickball Labs,Art,2200000,operating,USA,CA,Palo Alto,2,2014-06-01,2008-03-01,2009-03-01
La Belle Assiette,Curated Web,2200000,operating,FRA,,Paris,2,2013-01-01,2013-01-01,2014-10-20
Lightning Lab,Finance,2200000,operating,NZL,,Wellington,1,2011-04-02,2014-08-11,2014-08-11
Lit Motors,Clean Technology,2200000,operating,USA,CA,San Francisco,2,,2013-01-01,2014-03-05
LiveProfile,Social Media,2200000,closed,USA,NY,New York,1,2014-01-01,2011-06-07,2011-06-07
Lockitron,Hardware + Software,2200000,operating,USA,CA,San Francisco,3,2004-01-01,2009-08-02,2012-10-01
Lookback,Mobile,2200000,operating,USA,CA,Mountain View,1,1997-01-01,2014-03-27,2014-03-27
"MagicCube, Inc.",Mobile Commerce,2200000,operating,USA,CA,Sunnyvale,1,,2015-08-27,2015-08-27
Maven Clinic,Apps,2200000,operating,USA,NY,New York,2,,2015-04-09,2015-07-16
Medicalodges,Health and Wellness,2200000,operating,USA,KS,Coffeyville,1,2001-01-01,2014-01-09,2014-01-09
Mile High Organics,E-Commerce,2200000,operating,USA,CO,Boulder,3,2008-02-01,2012-06-22,2013-11-21
Minyanville,News,2200000,operating,USA,NY,New York,1,2006-03-01,2009-05-16,2009-05-16
Nimia,Media,2200000,operating,USA,WA,Seattle,1,2013-01-01,2015-03-06,2015-03-06
Nutraponics Canada,Medical,2200000,operating,CAN,AB,Sherwood Park,1,,2014-11-18,2014-11-18
Pact Apparel,Manufacturing,2200000,operating,USA,CA,Berkeley,2,2012-09-01,2009-06-30,2014-04-01
PageCloud,Software,2200000,operating,CAN,ON,Ottawa,2,2010-01-01,2014-09-30,2015-03-17
Pamlico Biopharma,Bio-Pharm,2200000,operating,USA,OK,Oklahoma City,1,,2015-04-29,2015-04-29
Paxfire,Software,2200000,closed,USA,VA,Sterling,3,2015-02-02,2003-01-01,2005-05-22
Premier Hotels & Resorts,Real Estate,2200000,operating,USA,FL,Pompano Beach,1,2011-10-17,2015-06-23,2015-06-23
Prynt,Photography,2200000,operating,USA,CA,San Francisco,2,2010-01-01,2014-07-14,2015-04-10
Punch!,Media,2200000,operating,USA,NY,New York,1,2012-02-01,2011-06-01,2011-06-01
Revmetrix,Analytics,2200000,operating,USA,DC,Washington,1,,2015-02-19,2015-02-19
RunMyProcess,Enterprise Software,2200000,acquired,FRA,,Paris,1,2009-01-01,2010-07-12,2010-07-12
SchoolMint,Communications Infrastructure,2200000,operating,USA,CA,San Francisco,2,2011-01-01,2014-01-14,2014-09-19
Selero,Software,2200000,operating,USA,CO,Denver,2,2011-01-01,2008-06-20,2009-03-26
ShowingTime,Computers,2200000,operating,USA,IL,Chicago,1,2014-01-01,2001-06-22,2001-06-22
SimpleSite,Curated Web,2200000,operating,DNK,,Copenhagen,1,2011-07-04,2012-11-09,2012-11-09
SiteZeus,Brokers,2200000,operating,USA,FL,Tampa,1,2014-01-01,2015-04-22,2015-04-22
Society of Cable Telecommunications Engineers (SCTE),Hardware + Software,2200000,operating,USA,PA,Exton,1,2007-01-24,2013-10-23,2013-10-23
Solar Roadways,Smart Grid,2200000,operating,USA,ID,Sagle,1,2014-11-15,2014-07-24,2014-07-24
Soundtracker,Databases,2200000,acquired,USA,DC,Washington,3,2014-01-01,2011-01-01,2012-12-20
Spotzot,Coupons,2200000,operating,USA,CA,Santa Clara,2,2005-01-01,2011-11-17,2013-06-07
Stayfilm,Film,2200000,operating,BRA,,Sí£o Paulo,2,2008-10-28,2012-10-01,2014-10-02
StoryToys,Games,2200000,operating,IRL,,Dublin,3,2013-12-19,2011-11-01,2015-05-01
Talent.io,Internet,2200000,operating,FRA,,Paris,1,2010-09-27,2015-07-07,2015-07-07
ThreeCore,Supply Chain Management,2200000,operating,USA,MA,Beverly,1,2014-01-01,2001-02-19,2001-02-19
Tiempo Development,Software,2200000,operating,USA,AZ,Tempe,2,2014-09-10,2007-05-22,2015-05-07
Timesaverz.com,Service Providers,2200000,operating,IND,,Mumbai,2,2009-01-01,2014-10-14,2015-08-19
Triea Systems,Clean Technology,2200000,operating,USA,PA,Frederick,1,2009-07-02,2013-06-27,2013-06-27
Unitrio Technology,Web Hosting,2200000,operating,THA,,Bangkok,1,,2010-09-13,2010-09-13
VideoAmp,Marketplaces,2200000,operating,USA,CA,Santa Monica,1,,2014-12-12,2014-12-12
Viewabill,Software,2200000,operating,USA,OH,Columbus,2,2010-10-01,2013-11-14,2013-11-15
Virginia Mason Medical Center,Hospitals,2200000,operating,USA,WA,Seattle,1,2013-07-01,2014-10-13,2014-10-13
Wedge Buster,Sports,2200000,operating,USA,CA,Los Angeles,1,,2012-09-25,2012-09-25
Who@,Networking,2200000,operating,,,,1,2013-01-01,2012-02-01,2012-02-01
Wonolo,Temporary Staffing,2200000,operating,USA,CA,San Francisco,2,2002-01-01,2013-12-15,2015-05-15
YouTab,Music,2200000,operating,ISR,,Tel Aviv,3,,2012-01-01,2014-12-01
Zazoom Media Group,Video,2200000,operating,USA,NY,New York,3,,2011-03-31,2014-02-11
